#,Name,Age,Ctry,Pts
160,Kyrian Jacquet,24,FRA,349
161,Mitchell Krueger,31,USA,345
162,Lukas Neumayer,22,AUT,345
163,Li Tu,29,AUS,344
164,James McCabe,22,AUS,341
165,Thiago Monteiro,31,BRA,338
166,Calvin Hémery,30,FRA,338
167,Zhizhen Zhang,28,CHN,335
168,Zsombor Piros,25,HUN,334
169,Marco Trungelliti,35,ARG,334
170,Marc-Andrea Hüsler,29,SUI,332
171,Harold Mayot,23,FRA,331
172,Nicolas Moreno De Alboran,28,USA,327
173,Coleman Wong,21,HKG,323
174,Hady Habib,26,LBN,320
175,Daniel Mérida,20,ESP,318
176,Titouan Droguet,24,FRA,317
177,Henrique Rocha,21,POR,316
178,Guy Den Ouden,23,NED,316
179,Francesco Maestrelli,22,ITA,315
180,Lucas Pouille,31,FRA,309
181,Mark Lajal,22,EST,309
182,Richard Gasquet,39,FRA,308
183,Alibek Kachmazov,22,RUS,308
184,Luka Pavlovic,25,FRA,305
185,Murphy Cassone,22,USA,299
186,Facundo Díaz Acosta,24,ARG,298
187,Santiago Taverna,26,ARG,298
188,Fabio Fognini,38,ITA,297
189,Benjamin Hassan,30,LBN,292
190,Hugo Grenier,29,FRA,291
191,James Trotter,25,JPN,291
192,Luca Van Assche,21,FRA,291
193,Jurij Rodionov,26,AUT,290
194,Kimmer Coppejans,31,BEL,281
195,Jack Pinnington Jones,22,GBR,280
196,Gauthier Onclin,24,BEL,278
197,Mikhail Kukushkin,37,KAZ,278
198,Alexis Galarneau,26,CAN,277
199,Jason Kubler,32,AUS,275
200,Jay Clarke,26,GBR,275
201,Fajing Sun,28,CHN,274
202,Omar Jasika,28,AUS,274
203,Constant Lestienne,33,FRA,272
204,Federico Agustin Gomez,28,ARG,270
205,Dominic Stricker,22,SUI,270
206,Rei Sakamoto,19,JPN,268
207,Sho Shimabukuro,27,JPN,265
208,Justin Engel,17,GER,262
209,Bernard Tomic,32,AUS,262
210,Pol Martín Tiffon,25,ESP,260
211,Yuta Shimizu,26,JPN,259
212,Vitaliy Sachko,28,UKR,259
213,Rio Noguchi,26,JPN,259
214,Patrick Kypson,25,USA,258
215,Dmitry Popko,28,KAZ,255
216,Johannus Monday,23,GBR,255
217,Arthur Bouquier,24,FRA,254
218,Beibit Zhukayev,24,KAZ,253
219,Borna Gojo,27,CRO,253
220,Rodrigo Pacheco Mendez,20,MEX,252
221,Federico Arnaboldi,25,ITA,251
222,Ugo Blanchet,26,FRA,250
223,Daniel Rincon,22,ESP,249
224,Clément Tabur,25,FRA,248
225,Aziz Dougaz,28,TUN,247
226,Yasutaka Uchiyama,32,JPN,247
227,Alex Bolt,32,AUS,246
228,Viktor Durasovic,28,NOR,245
229,Aslan Karatsev,31,RUS,244
230,Stefano Travaglia,33,ITA,244
231,Clément Chidekh,24,FRA,244
232,Oliver Crawford,26,GBR,240
233,Alex Barrena,22,ARG,239
234,João Lucas Reis Da Silva,25,BRA,238
235,Andrea Collarini,33,ARG,238
236,Yu-hsiou Hsu,26,TWN,237
237,Elias Ymer,29,SWE,236
238,Federico Cina,18,ITA,235
239,Ilia Simakin,21,RUS,235
240,Nicolás Mejía,25,COL,233
241,Ryan Peniston,29,GBR,232
242,Matej Dodig,20,CRO,231
243,Yibing Wu,25,CHN,228
244,Álvaro Guillén Meza,22,ECU,228
245,Edas Butvilas,21,LTU,227
246,Adolfo Daniel Vallejo,21,PAR,226
247,Marek Gengel,29,CZE,226
248,Nerman Fatić,30,BIH,225
249,Sascha Gueymard Wayenburg,21,FRA,223
250,Pavel Kotov,26,RUS,222
251,Frederico Ferreira Silva,30,POR,222
252,Facundo Mena,32,ARG,221
253,Nicolai Budkov Kjaer,18,NOR,218
254,Matías Soto,26,CHI,217
255,Marko Topo,21,GER,216
256,Ivan Gakhov,28,RUS,216
257,Geoffrey Blancaneaux,26,FRA,214
258,Valentin Vacherot,26,MON,213
259,Andrés Andrade,26,ECU,213
260,Carlos Sánchez Jover,25,ESP,210
261,Antoine Escoffier,33,FRA,210
262,Mathys Erhard,23,FRA,207
263,Alejandro Moro Cañas,24,ESP,205
264,Dimitar Kuzmanov,31,BUL,204
265,Juan Carlos Prado Angelo,20,BOL,204
266,Filip Jianu,23,ROU,204
267,Duje Ajduković,24,CRO,203
268,Khumoyun Sultanov,26,UZB,201
269,Christoph Negritu,31,GER,201
270,Yan Bai,36,CHN,201
271,Patrick Zahraj,26,GER,199
272,Eliakim Coulibaly,23,CIV,196
273,Saba Purtseladze,23,GEO,196
274,Lautaro Midon,21,ARG,196
275,Max Hans Rehberg,21,GER,193
276,Mattéo Martineau,26,FRA,193
277,Mili Poljičak,21,CRO,193
278,Arthur Géa,20,FRA,193
279,Matheus Pucinelli De Almeida,24,BRA,192
280,Marat Sharipov,22,RUS,191
281,Jie Cui,27,CHN,191
282,Gonzalo Bueno,21,PER,190
283,Karue Sell,31,BRA,189
284,Gonzalo Oliveira,30,VEN,185
285,Albert Ramos Viñolas,37,ESP,184
286,Tung Lin Wu,27,TWN,183
287,Murkel Dellien,27,BOL,183
288,Max Houkes,25,NED,181
289,Aidan Mayo,22,USA,181
290,Giulio Zeppieri,23,ITA,180
291,Marco Cecchinato,32,ITA,180
292,George Loffhagen,24,GBR,180
293,Michael Geerts,30,BEL,180
294,Lorenzo Giustino,33,ITA,179
295,Gustavo Heide,23,BRA,178
296,Tiago Pereira,21,POR,176
297,Daniel Michalski,25,POL,175
298,Nicolás Álvarez Varona,24,ESP,172
299,Juan Bautista Torres,23,ARG,169
300,Mika Brunold,20,SUI,168
